52.1997382813316,21.14926255661179,122/128,Zwoleńska,Wawer,04-761
52.11096394599999,21.003533875955988,139A,Karczunkowska,Ursynów,02-871
52.32524525123792,21.066109905183993,13,Głębocka,Białołęka,03-287
52.32524525123792,21.066109905183993,110,Głębocka,Białołęka,03-287
52.21880754814449,21.24084070058768,2,aleja Piłsudskiego,Wesoła,05-077
52.296504661538464,20.93147807393837,15,Zgrupowania AK Kampinos,Bielany,01-943
52.26917023888889,21.061548358342474,94B,Radzymińska,Targówek,03-574
52.26684568939394,21.149180411406622,26,Czwartaków,Rembertów,04-460
52.28603178333333,20.92537100892501,29,T. Nocznickiego,Bielany,01-918
52.23420473620689,20.901051693358227,3A,Szobera,Bemowo,01-318
52.23420473620689,20.901051693358227,11b,Wyki,Bemowo,01-318
52.224662265151515,20.91701133576225,9,Powstańców Śląskich,Bemowo,01-354
52.31518902203389,20.974866266285986,158c,Modlińska,Białołęka,03-186
52.273453225000004,20.93167281631816,15,Marii Dąbrowskiej,Bielany,01-903
52.22155129,20.981509431600106,26,Niemcewicza,Ochota,02-306
52.20173075999999,20.98221520728314,4d,Pruszkowska,Ochota,02-118
52.2189648551669,21.110209271676876,2,Złotej Wilgi,Wawer,03-984
52.239058148,21.112929304444876,338/340,Grochowska,Praga-Południe,04-186
52.2480423125,21.083950017778882,15,Wiatraczna,Praga-Południe,04-364
52.268005540127675,21.0174172034407,82,Jagiellońska,Praga-Północ,03-301
52.27370925,21.0418828374235,10,Wysockiego,Targówek,03-371
52.17363836052632,21.200738239954042,110,Patriotów,Wawer,04-844
52.21880754814449,21.24084070058768,73,Trakt Brzeski,Wesoła,05-077
52.233813778333335,20.92778243636945,46,Jana Olbrachta,Wola,01-102
52.223809927333335,20.94248660766331,62,Jana Kazimierza,Wola,01-248
52.155418439351834,21.181653713916084,106,Wał Miedzeszyński,Wawer,04-987
52.20044925416668,21.03013894899045,3,Dolna,Mokotów,00-773
52.153187692179515,21.050147186777874,2a,Hirszfelda,Ursynów,02-776
52.24715123007348,21.210799928916746,8,Niemcewicza,Wesoła,05-075
52.200592802162156,21.123740642825467,13,Bronowska,Wawer,03-995
52.23452454027782,21.066636987295258,68,Międzynarodowa,Praga-Południe,03-922
52.23351698899999,20.985169356108724,61,Grzybowska,Wola,00-844
52.171406950000005,21.03810497225673,34,J. Elsnera,Mokotów,02-680
52.33154567734375,20.94561322233136,12,Hanki Ordonówny,Białołęka,03-138
52.226308025609754,21.0658882452241,6A,Saska,Praga-Południe,03-968
52.16098960223881,21.07200108158147,2,Sejmu Czteroletniego,Wilanów,02-972
52.253011434549364,20.91754286524757,4,Uniejowska,Bemowo,01-493
52.253011434549364,20.91754286524757,1a,Szadkowskiego,Bemowo,01-493
52.237638335829956,20.916190977207602,3,Czumy,Bemowo,01-355
52.32645879029851,20.947002767286556,53e,Światowida,Białołęka,03-144
